Alloys,,Alloys,Alloys,Alloys,Alloys,Alloys,Alloys,Alloys,Alloys
,44,(ZrHfNb)0.1Ti0.7Ta0.2,(ZrHfNb)0.1W0.7Ta0.2,(ZrHfNb)0.1Mo0.7Ta0.2,(ZrHfNb)0.1Cr0.7W0.2,(VNbTa)0.1Cr0.7W0.2,(VNbTa)0.1Zr0.7W0.2,(VNbTa)0.1Hf0.7W0.2,(VNbTa)0.1Mo0.7Ti0.2
,45,(ZrHfNb)0.4Ti0.3Ta0.3,(ZrHfNb)0.4W0.3Ta0.3,(ZrHfNb)0.4Mo0.3Ta0.3,(ZrHfNb)0.4Cr0.3W0.3,(VNbTa)0.4Cr0.3W0.3,(VNbTa)0.4Zr0.3W0.3,(VNbTa)0.4Hf0.3W0.3,(VNbTa)0.4Mo0.3Ti0.3
,46,(ZrHfNb)0.3Ti0.3Ta0.4,(ZrHfNb)0.3W0.3Ta0.4,(ZrHfNb)0.3Mo0.3Ta0.4,(ZrHfNb)0.3Cr0.3W0.4,(VNbTa)0.3Cr0.3W0.4,(VNbTa)0.3Zr0.3W0.4,(VNbTa)0.3Hf0.3W0.4,(VNbTa)0.3Mo0.3Ti0.4
,47,(ZrHfNb)0.2Ti0.3Ta0.5,(ZrHfNb)0.2W0.3Ta0.5,(ZrHfNb)0.2Mo0.3Ta0.5,(ZrHfNb)0.2Cr0.3W0.5,(VNbTa)0.2Cr0.3W0.5,(VNbTa)0.2Zr0.3W0.5,(VNbTa)0.2Hf0.3W0.5,(VNbTa)0.2Mo0.3Ti0.5
,48,(ZrHfNb)0.1Ti0.3Ta0.6,(ZrHfNb)0.1W0.3Ta0.6,(ZrHfNb)0.1Mo0.3Ta0.6,(ZrHfNb)0.1Cr0.3W0.6,(VNbTa)0.1Cr0.3W0.6,(VNbTa)0.1Zr0.3W0.6,(VNbTa)0.1Hf0.3W0.6,(VNbTa)0.1Mo0.3Ti0.6
,49,(ZrHfNb)0.3Ti0.4Ta0.3,(ZrHfNb)0.3W0.4Ta0.3,(ZrHfNb)0.3Mo0.4Ta0.3,(ZrHfNb)0.3Cr0.4W0.3,(VNbTa)0.3Cr0.4W0.3,(VNbTa)0.3Zr0.4W0.3,(VNbTa)0.3Hf0.4W0.3,(VNbTa)0.3Mo0.4Ti0.3
,50,(ZrHfNb)0.2Ti0.5Ta0.3,(ZrHfNb)0.2W0.5Ta0.3,(ZrHfNb)0.2Mo0.5Ta0.3,(ZrHfNb)0.2Cr0.5W0.3,(VNbTa)0.2Cr0.5W0.3,(VNbTa)0.2Zr0.5W0.3,(VNbTa)0.2Hf0.5W0.3,(VNbTa)0.2Mo0.5Ti0.3
,51,(ZrHfNb)0.1Ti0.6Ta0.3,(ZrHfNb)0.1W0.6Ta0.3,(ZrHfNb)0.1Mo0.6Ta0.3,(ZrHfNb)0.1Cr0.6W0.3,(VNbTa)0.1Cr0.6W0.3,(VNbTa)0.1Zr0.6W0.3,(VNbTa)0.1Hf0.6W0.3,(VNbTa)0.1Mo0.6Ti0.3
,52,(ZrHfNb)0.2Ti0.4Ta0.4,(ZrHfNb)0.2W0.4Ta0.4,(ZrHfNb)0.2Mo0.4Ta0.4,(ZrHfNb)0.2Cr0.4W0.4,(VNbTa)0.2Cr0.4W0.4,(VNbTa)0.2Zr0.4W0.4,(VNbTa)0.2Hf0.4W0.4,(VNbTa)0.2Mo0.4Ti0.4
,53,(ZrHfNb)0.1Ti0.4Ta0.5,(ZrHfNb)0.1W0.4Ta0.5,(ZrHfNb)0.1Mo0.4Ta0.5,(ZrHfNb)0.1Cr0.4W0.5,(VNbTa)0.1Cr0.4W0.5,(VNbTa)0.1Zr0.4W0.5,(VNbTa)0.1Hf0.4W0.5,(VNbTa)0.1Mo0.4Ti0.5
,54,(ZrHfNb)0.1Ti0.5Ta0.4,(ZrHfNb)0.1W0.5Ta0.4,(ZrHfNb)0.1Mo0.5Ta0.4,(ZrHfNb)0.1Cr0.5W0.4,(VNbTa)0.1Cr0.5W0.4,(VNbTa)0.1Zr0.5W0.4,(VNbTa)0.1Hf0.5W0.4,(VNbTa)0.1Mo0.5Ti0.4
